freeToPlay,rankedPlayEnabled,botEnabled,botMmEnabled,active,id
TRUE,TRUE,TRUE,TRUE,TRUE,15
FALSE,TRUE,FALSE,FALSE,TRUE,72
FALSE,TRUE,FALSE,FALSE,TRUE,37
FALSE,TRUE,TRUE,FALSE,TRUE,16
FALSE,TRUE,TRUE,TRUE,TRUE,50
FALSE,TRUE,FALSE,FALSE,TRUE,134
TRUE,TRUE,FALSE,FALSE,TRUE,223
FALSE,TRUE,FALSE,FALSE,TRUE,91
FALSE,TRUE,TRUE,TRUE,TRUE,44
FALSE,TRUE,FALSE,FALSE,TRUE,17
FALSE,TRUE,FALSE,FALSE,TRUE,412
FALSE,TRUE,TRUE,TRUE,TRUE,18
FALSE,TRUE,TRUE,TRUE,TRUE,48
FALSE,TRUE,FALSE,FALSE,TRUE,23
FALSE,TRUE,FALSE,FALSE,TRUE,4
FALSE,TRUE,FALSE,FALSE,TRUE,29
FALSE,TRUE,TRUE,TRUE,TRUE,77
FALSE,TRUE,FALSE,FALSE,TRUE,6
FALSE,TRUE,FALSE,FALSE,TRUE,110
FALSE,TRUE,FALSE,FALSE,TRUE,67
FALSE,TRUE,FALSE,FALSE,TRUE,45
FALSE,TRUE,FALSE,FALSE,TRUE,161
FALSE,TRUE,FALSE,FALSE,TRUE,254
FALSE,TRUE,FALSE,FALSE,TRUE,112
FALSE,TRUE,TRUE,TRUE,TRUE,8
FALSE,TRUE,FALSE,FALSE,TRUE,106
FALSE,TRUE,TRUE,TRUE,TRUE,19
TRUE,TRUE,FALSE,FALSE,TRUE,101
FALSE,TRUE,TRUE,TRUE,TRUE,5
FALSE,TRUE,FALSE,FALSE,TRUE,157
FALSE,TRUE,FALSE,FALSE,TRUE,83
FALSE,TRUE,FALSE,FALSE,TRUE,154
FALSE,TRUE,FALSE,FALSE,TRUE,238
FALSE,TRUE,TRUE,TRUE,TRUE,115
TRUE,TRUE,TRUE,TRUE,TRUE,26
FALSE,TRUE,TRUE,TRUE,TRUE,143
